Genome,Order,Family,Genus,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score,VC Orders,VC Families,VC Genera,Lifestyle
ind-DNK_MH0246_k99_72509,Industrial,Industrial,Industrial,preVC_18,Clustered,VC_18_0,7.0,0.2724,1.0,5.086994575116862,0.2724,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0246_k99_72510,Industrial,Industrial,Industrial,preVC_204,Clustered,VC_204_0,13.0,0.8421,1.0,4.425822946930632,0.8421,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0246_k99_72511,Industrial,Industrial,Industrial,preVC_209,Clustered,VC_209_0,10.0,0.705,1.0,3.485176331927285,0.705,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0246_k99_72512,Industrial,Industrial,Industrial,preVC_211,Clustered,VC_211_0,9.0,0.8682,1.0,0.7519741058851521,0.8682,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0246_k99_72513,Industrial,Industrial,Industrial,preVC_105,Clustered,VC_105_0,31.0,0.8203,1.0,4.894978314162693,0.8203,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0246_k99_72514,Industrial,Industrial,Industrial,preVC_55,Clustered,VC_55_4,10.0,0.1449,1.0,7.299092675895147,0.1449,0.9778,0.0,0.0,0.0,Lytic
ind-DNK_MH0246_k99_72515,Industrial,Industrial,Industrial,preVC_214,Clustered,VC_214_0,12.0,0.9966,0.99624919,3.766283536781652,0.9928,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0252_k99_106052_1,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Temperate
ind-DNK_MH0252_k99_201659,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0252_k99_201664,Industrial,Industrial,Industrial,,Overlap (VC_58/VC_78),,,,,,,,,,,Lytic
ind-DNK_MH0259_k99_102337_1,Industrial,Industrial,Industrial,preVC_229,Clustered,VC_229_0,3.0,0.6171,0.996437,3.464101615137755,0.6149,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0260_k99_150506_1,Industrial,Industrial,Industrial,,Overlap (VC_234/VC_235),,,,,,,,,,,Temperate
ind-DNK_MH0260_k99_159537,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0260_k99_40152_1,Industrial,Industrial,Industrial,preVC_242,Clustered,VC_242_0,57.0,0.8677,1.0,6.615995275635601,0.8677,1.0,1.0,1.0,14.0,Temperate
ind-DNK_MH0260_k99_43201_1,Industrial,Industrial,Industrial,preVC_176,Clustered,VC_176_0,21.0,0.6277,1.0,7.425921942241447,0.6277,0.8571,1.0,1.0,1.0,Temperate
ind-DNK_MH0260_k99_80900_1,Industrial,Industrial,Industrial,preVC_170,Clustered,VC_170_0,34.0,0.987,1.0,2.8381666893289044,0.987,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0261_k99_57881,Industrial,Industrial,Industrial,,Overlap (VC_135/VC_136),,,,,,,,,,,Lytic
ind-DNK_MH0262_k99_100204,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0262_k99_121274_1,Industrial,Industrial,Industrial,preVC_249,Clustered,VC_249_0,2.0,0.1528,0.89587727,6.244997998398398,0.1369,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0262_k99_129513,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0262_k99_129515,Industrial,Industrial,Industrial,preVC_253,Clustered,VC_253_0,2.0,0.8675,0.5,3.605551275463989,0.4337,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0262_k99_39990_1,Industrial,Industrial,Industrial,preVC_142,Clustered,VC_142_0,17.0,0.6949,1.0,5.66525437026348,0.6949,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0262_k99_40145,Industrial,Industrial,Industrial,preVC_254,Clustered,VC_254_0,32.0,0.916,1.0,1.3639119772167403,0.916,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0264_k99_104301,Industrial,Industrial,Industrial,preVC_184,Clustered,VC_184_0,42.0,0.8932,1.0,1.1402171316751837,0.8932,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0264_k99_31387,Industrial,Industrial,Industrial,preVC_256,Clustered,VC_256_0,24.0,0.8982,1.0,6.46048384267106,0.8982,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0264_k99_52522,Industrial,Industrial,Industrial,preVC_254,Clustered,VC_254_0,32.0,0.916,1.0,1.3639119772167403,0.916,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0265_k99_123295,Industrial,Industrial,Industrial,preVC_238,Clustered,VC_238_0,19.0,0.9304,1.0,5.117470271989422,0.9304,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0265_k99_123296,Industrial,Industrial,Industrial,preVC_252,Clustered,VC_252_0,4.0,0.7035,0.99991797,5.575088595428376,0.7035,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0265_k99_123297,Industrial,Industrial,Industrial,preVC_103,Clustered,VC_103_0,38.0,0.7091,1.0,5.341678186294121,0.7091,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0265_k99_18892,Industrial,Industrial,Industrial,preVC_262,Clustered,VC_262_0,14.0,0.7918,1.0,4.320663491629154,0.7918,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0265_k99_338,Industrial,Industrial,Industrial,preVC_265,Clustered,VC_265_0,5.0,0.7173,0.99999812,2.975822193391424,0.7173,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0266_k99_10227,Industrial,Industrial,Industrial,preVC_266,Clustered,VC_266_0,21.0,0.9255,1.0,3.9268050050573575,0.9255,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0266_k99_118822,Industrial,Industrial,Industrial,preVC_269,Clustered,VC_269_0,8.0,0.6348,1.0,2.311913238886135,0.6348,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0266_k99_120153,Industrial,Industrial,Industrial,preVC_278,Clustered,VC_278_0,3.0,0.7848,0.9278018,0.0,0.7281,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0266_k99_120154,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0266_k99_17664,Industrial,Industrial,Industrial,preVC_103,Clustered,VC_103_0,38.0,0.7091,1.0,5.341678186294121,0.7091,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0266_k99_45231_1,Industrial,Industrial,Industrial,preVC_233,Clustered,VC_233_0,20.0,0.6645,1.0,3.410185645934525,0.6645,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0268_k99_141179,Industrial,Industrial,Industrial,preVC_120,Clustered,VC_120_0,12.0,0.2411,1.0,7.789406052088373,0.2411,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0268_k99_141182,Industrial,Industrial,Industrial,,Singleton,,,,,,,,,,,Lytic
ind-DNK_MH0268_k99_365_1,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Temperate
ind-DNK_MH0268_k99_59798,Industrial,Industrial,Industrial,preVC_166,Clustered,VC_166_0,30.0,0.989,1.0,3.7492204660144974,0.989,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0268_k99_8981,Industrial,Industrial,Industrial,preVC_103,Clustered,VC_103_0,38.0,0.7091,1.0,5.341678186294121,0.7091,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0270_k99_122116,Industrial,Industrial,Industrial,preVC_254,Clustered,VC_254_0,32.0,0.916,1.0,1.3639119772167403,0.916,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0270_k99_122222_1,Industrial,Industrial,Industrial,preVC_87,Clustered,VC_87_1,11.0,0.3609,1.0,8.312611918367095,0.3609,0.8,0.0,0.0,0.0,Temperate
ind-DNK_MH0270_k99_122813,Industrial,Industrial,Industrial,preVC_264,Clustered,VC_264_0,7.0,0.8534,1.0,2.5690120953234032,0.8534,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0270_k99_122814,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0270_k99_122815,Industrial,Industrial,Industrial,preVC_295,Clustered,VC_295_0,17.0,0.8111,1.0,2.0143375873285656,0.8111,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0270_k99_17881_1,Industrial,Industrial,Industrial,,Overlap (VC_234/VC_235),,,,,,,,,,,Temperate
ind-DNK_MH0270_k99_54981,Industrial,Industrial,Industrial,preVC_255,Clustered,VC_255_0,6.0,0.2347,1.0,2.7620452447580197,0.2347,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0270_k99_77258_1,Industrial,Industrial,Industrial,preVC_31,Clustered,VC_31_1,23.0,0.543,1.0,6.9850426787505855,0.543,0.9328,0.0,0.0,0.0,Temperate
ind-DNK_MH0270_k99_8766_1,Industrial,Industrial,Industrial,preVC_296,Clustered,VC_296_0,4.0,0.7108,0.99993766,4.475800781414354,0.7108,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0271_k99_109996,Industrial,Industrial,Industrial,,Overlap (VC_187/VC_256),,,,,,,,,,,Lytic
ind-DNK_MH0271_k99_120739,Industrial,Industrial,Industrial,preVC_136,Clustered,VC_136_0,33.0,0.8906,1.0,4.124918548970179,0.8906,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0280_k99_115883,Industrial,Industrial,Industrial,preVC_100,Clustered,VC_100_0,7.0,0.2981,1.0,3.1670866695559434,0.2981,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0280_k99_151492,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0280_k99_151497,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0280_k99_151506,Industrial,Industrial,Industrial,preVC_302,Clustered,VC_302_0,5.0,1.0,0.0,1.370674230225704,0.0,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0280_k99_151507,Industrial,Industrial,Industrial,preVC_166,Clustered,VC_166_0,30.0,0.989,1.0,3.7492204660144974,0.989,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0280_k99_35295_1,Industrial,Industrial,Industrial,preVC_142,Clustered,VC_142_0,17.0,0.6949,1.0,5.66525437026348,0.6949,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0281_k99_20817,Industrial,Industrial,Industrial,preVC_303,Clustered,VC_303_0,5.0,0.9609,0.99998942,3.945880348338551,0.9609,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0281_k99_68440_1,Industrial,Industrial,Industrial,preVC_306,Clustered,VC_306_0,4.0,0.2412,0.99996186,3.7269844136320742,0.2412,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0281_k99_96193,Industrial,Industrial,Industrial,,Overlap (VC_188/VC_191),,,,,,,,,,,Lytic
ind-DNK_MH0283_k99_93741,Industrial,Industrial,Industrial,preVC_314,Clustered,VC_314_0,20.0,0.9907,0.99999998,1.4864764664585168,0.9907,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0283_k99_93744,Industrial,Industrial,Industrial,preVC_264,Clustered,VC_264_0,7.0,0.8534,1.0,2.5690120953234032,0.8534,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0284_k99_145010,Industrial,Industrial,Industrial,preVC_317,Clustered/Singleton,VC_317_0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0284_k99_145024,Industrial,Industrial,Industrial,preVC_320,Clustered,VC_320_0,11.0,0.8414,1.0,1.062497003529234,0.8414,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0284_k99_145045,Industrial,Industrial,Industrial,preVC_166,Clustered,VC_166_0,30.0,0.989,1.0,3.7492204660144974,0.989,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0290_k99_141492,Industrial,Industrial,Industrial,preVC_322,Clustered,VC_322_0,3.0,0.3038,0.99549689,7.675718116611968,0.3024,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0290_k99_141495,Industrial,Industrial,Industrial,preVC_326,Clustered/Singleton,VC_326_4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0290_k99_141498,Industrial,Industrial,Industrial,preVC_45,Clustered,VC_45_0,23.0,0.7621,1.0,5.63299317366044,0.7621,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0290_k99_53917,Industrial,Industrial,Industrial,preVC_335,Clustered,VC_335_2,2.0,0.0283,0.91506425,6.48074069840786,0.0259,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0290_k99_74327,Industrial,Industrial,Industrial,preVC_365,Clustered,VC_365_0,7.0,0.7483,1.0,1.9302994782356968,0.7483,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0293_k99_124258_1,Industrial,Industrial,Industrial,preVC_143,Clustered,VC_143_0,20.0,0.4533,1.0,6.3262370313421865,0.4533,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0293_k99_151610,Industrial,Industrial,Industrial,preVC_375,Clustered,VC_375_1,15.0,0.3635,1.0,5.877623419851712,0.3635,0.9619,0.0,0.0,0.0,Lytic
ind-DNK_MH0293_k99_99492_1,Industrial,Industrial,Industrial,preVC_233,Clustered,VC_233_0,20.0,0.6645,1.0,3.410185645934525,0.6645,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0297_k99_87552_1,Industrial,Industrial,Industrial,preVC_170,Clustered,VC_170_0,34.0,0.987,1.0,2.8381666893289044,0.987,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0297_k99_94127,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0297_k99_94129,Industrial,Industrial,Industrial,preVC_18,Clustered,VC_18_3,7.0,0.2055,1.0,7.0144426805807125,0.2055,0.9048,0.0,0.0,0.0,Lytic
ind-DNK_MH0298_k99_111846,Industrial,Industrial,Industrial,preVC_189,Clustered,VC_189_0,6.0,0.3516,1.0,1.004737854124365,0.3516,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0298_k99_151704,Industrial,Industrial,Industrial,preVC_96,Clustered,VC_96_0,40.0,0.8309,1.0,4.911738881642996,0.8309,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0298_k99_15770,Industrial,Industrial,Industrial,preVC_254,Clustered,VC_254_0,32.0,0.916,1.0,1.3639119772167403,0.916,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0299_k99_3249,Industrial,Industrial,Industrial,preVC_282,Clustered/Singleton,VC_282_0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0299_k99_89670,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0299_k99_89671,Industrial,Industrial,Industrial,preVC_238,Clustered,VC_238_0,19.0,0.9304,1.0,5.117470271989422,0.9304,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0301_k99_114240,Industrial,Industrial,Industrial,preVC_381,Clustered,VC_381_0,85.0,0.9115,1.0,0.5303707787811547,0.9115,1.0,1.0,1.0,2.0,Lytic
ind-DNK_MH0301_k99_92986_1,Industrial,Industrial,Industrial,preVC_204,Clustered,VC_204_0,13.0,0.8421,1.0,4.425822946930632,0.8421,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0303_k99_162006,Industrial,Industrial,Industrial,preVC_384,Clustered,VC_384_0,2.0,0.0906,0.91179944,3.741657386773941,0.0826,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0303_k99_172998,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0303_k99_195251,Industrial,Industrial,Industrial,preVC_166,Clustered,VC_166_0,30.0,0.989,1.0,3.7492204660144974,0.989,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0303_k99_195253,Industrial,Industrial,Industrial,preVC_103,Clustered,VC_103_0,38.0,0.7091,1.0,5.341678186294121,0.7091,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0308_k99_131164,Industrial,Industrial,Industrial,preVC_266,Clustered,VC_266_0,21.0,0.9255,1.0,3.9268050050573575,0.9255,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0308_k99_1729_1,Industrial,Industrial,Industrial,preVC_170,Clustered,VC_170_0,34.0,0.987,1.0,2.8381666893289044,0.987,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0309_k99_102937_1,Industrial,Industrial,Industrial,,Overlap (VC_157/VC_174/VC_176),,,,,,,,,,,Temperate
ind-DNK_MH0309_k99_106335_1,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Temperate
ind-DNK_MH0309_k99_3435_1,Industrial,Industrial,Industrial,,Overlap (VC_232/VC_260),,,,,,,,,,,Temperate
ind-DNK_MH0309_k99_4930_1,Industrial,Industrial,Industrial,preVC_301,Clustered,VC_301_0,9.0,0.8572,1.0,2.674425683272798,0.8572,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0309_k99_67360_1,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Temperate
ind-DNK_MH0309_k99_908_1,Industrial,Industrial,Industrial,preVC_403,Clustered,VC_403_0,2.0,0.0537,0.9036739,8.602325267042627,0.0485,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0310_k99_23583_1,Industrial,Industrial,Industrial,preVC_235,Clustered,VC_235_4,7.0,0.3056,1.0,3.25392585998407,0.3056,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0310_k99_58104,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0310_k99_96431,Industrial,Industrial,Industrial,preVC_413,Clustered,VC_413_0,3.0,0.7397,0.9909558,3.19442554657924,0.733,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0310_k99_96434,Industrial,Industrial,Industrial,preVC_101,Clustered,VC_101_0,32.0,0.9165,1.0,3.9767114765506895,0.9165,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0311_k99_41863_1,Industrial,Industrial,Industrial,preVC_228,Clustered,VC_228_0,4.0,0.1876,0.99997004,6.854493789064967,0.1876,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0311_k99_79,Industrial,Industrial,Industrial,preVC_204,Clustered,VC_204_0,13.0,0.8421,1.0,4.425822946930632,0.8421,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0311_k99_89066_1,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Temperate
ind-DNK_MH0314_k99_141431,Industrial,Industrial,Industrial,preVC_381,Clustered,VC_381_0,85.0,0.9115,1.0,0.5303707787811547,0.9115,1.0,1.0,1.0,2.0,Lytic
ind-DNK_MH0314_k99_29677,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0314_k99_39833,Industrial,Industrial,Industrial,preVC_375,Clustered,VC_375_1,15.0,0.3635,1.0,5.877623419851712,0.3635,0.9619,0.0,0.0,0.0,Lytic
ind-DNK_MH0315_k99_55193_1,Industrial,Industrial,Industrial,preVC_149,Clustered,VC_149_0,4.0,0.04,0.99966614,7.67583859991234,0.04,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0319_k99_115974_1,Industrial,Industrial,Industrial,preVC_424,Clustered,VC_424_1,3.0,0.0527,0.99191068,8.069367908084102,0.0523,1.0,1.0,1.0,0.0,Temperate
ind-DNK_MH0319_k99_122945,Industrial,Industrial,Industrial,preVC_436,Clustered,VC_436_0,6.0,0.7165,0.9999998,1.0666666666666669,0.7165,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0319_k99_122948,Industrial,Industrial,Industrial,preVC_438,Clustered,VC_438_0,11.0,0.5457,1.0,5.942096128984539,0.5457,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0319_k99_122953,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0319_k99_36066_1,Industrial,Industrial,Industrial,preVC_444,Clustered,VC_444_0,14.0,0.4972,1.0,4.021589192146032,0.4972,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0323_k99_138832_1,Industrial,Industrial,Industrial,preVC_20,Clustered,VC_20_0,7.0,0.533,1.0,4.8959183601419065,0.533,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0323_k99_146759,Industrial,Industrial,Industrial,preVC_336,Clustered,VC_336_0,7.0,0.124,1.0,8.085289898227895,0.124,0.7143,0.0,0.0,0.0,Lytic
